#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|      /Users/cris/bow-256-4M.bin|  1.63e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   2|   1000000|     100|0.42846279|  PASSED
# The file file_input_raw was rewound 23 times
      rgb_lagged_sum|   3|   1000000|     100|0.03668798|  PASSED
# The file file_input_raw was rewound 25 times
      rgb_lagged_sum|   4|   1000000|     100|0.79165981|  PASSED
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|   5|   1000000|     100|0.31725515|  PASSED
# The file file_input_raw was rewound 30 times
      rgb_lagged_sum|   6|   1000000|     100|0.83399315|  PASSED
# The file file_input_raw was rewound 34 times
      rgb_lagged_sum|   7|   1000000|     100|0.00548115|  PASSED
# The file file_input_raw was rewound 37 times
      rgb_lagged_sum|   8|   1000000|     100|0.33061817|  PASSED
# The file file_input_raw was rewound 41 times
      rgb_lagged_sum|   9|   1000000|     100|0.03844120|  PASSED
# The file file_input_raw was rewound 45 times
      rgb_lagged_sum|  10|   1000000|     100|0.88092649|  PASSED
# The file file_input_raw was rewound 50 times
      rgb_lagged_sum|  11|   1000000|     100|0.17755235|  PASSED
# The file file_input_raw was rewound 55 times
      rgb_lagged_sum|  12|   1000000|     100|0.29950714|  PASSED
# The file file_input_raw was rewound 61 times
      rgb_lagged_sum|  13|   1000000|     100|0.31390075|  PASSED
# The file file_input_raw was rewound 66 times
      rgb_lagged_sum|  14|   1000000|     100|0.73676986|  PASSED
# The file file_input_raw was rewound 73 times
      rgb_lagged_sum|  15|   1000000|     100|0.00001283|   WEAK
# The file file_input_raw was rewound 79 times
      rgb_lagged_sum|  16|   1000000|     100|0.82979704|  PASSED
# The file file_input_raw was rewound 86 times
      rgb_lagged_sum|  17|   1000000|     100|0.54400155|  PASSED
# The file file_input_raw was rewound 94 times
      rgb_lagged_sum|  18|   1000000|     100|0.79166707|  PASSED
# The file file_input_raw was rewound 102 times
      rgb_lagged_sum|  19|   1000000|     100|0.10832981|  PASSED
# The file file_input_raw was rewound 110 times
      rgb_lagged_sum|  20|   1000000|     100|0.69512946|  PASSED
# The file file_input_raw was rewound 118 times
      rgb_lagged_sum|  21|   1000000|     100|0.78223238|  PASSED
# The file file_input_raw was rewound 127 times
      rgb_lagged_sum|  22|   1000000|     100|0.93070810|  PASSED
# The file file_input_raw was rewound 137 times
      rgb_lagged_sum|  23|   1000000|     100|0.00002036|   WEAK
# The file file_input_raw was rewound 146 times
      rgb_lagged_sum|  24|   1000000|     100|0.00000482|   WEAK
# The file file_input_raw was rewound 157 times
      rgb_lagged_sum|  25|   1000000|     100|0.98833723|  PASSED
# The file file_input_raw was rewound 167 times
      rgb_lagged_sum|  26|   1000000|     100|0.95302872|  PASSED
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  27|   1000000|     100|0.02689962|  PASSED
# The file file_input_raw was rewound 189 times
      rgb_lagged_sum|  28|   1000000|     100|0.58487354|  PASSED
# The file file_input_raw was rewound 201 times
      rgb_lagged_sum|  29|   1000000|     100|0.43080014|  PASSED
# The file file_input_raw was rewound 213 times
      rgb_lagged_sum|  30|   1000000|     100|0.36443638|  PASSED
# The file file_input_raw was rewound 226 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 239 times
      rgb_lagged_sum|  32|   1000000|     100|0.35680084|  PASSED
# The file file_input_raw was rewound 239 times
     rgb_kstest_test|   0|     10000|    1000|0.41492127|  PASSED
# The file file_input_raw was rewound 239 times
     dab_bytedistrib|   0|  51200000|       1|0.68487974|  PASSED
# The file file_input_raw was rewound 239 times
             dab_dct| 256|     50000|       1|0.28735011|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 240 times
        dab_filltree|  32|  15000000|       1|0.41461134|  PASSED
        dab_filltree|  32|  15000000|       1|0.87513272|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 240 times
       dab_filltree2|   0|   5000000|       1|0.06672151|  PASSED
       dab_filltree2|   1|   5000000|       1|0.97694515|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 240 times
        dab_monobit2|  12|  65000000|       1|0.45796380|  PASSED
