#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|    /Users/cris/storm-256-4M.bin|  1.53e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   2|   1000000|     100|0.97586643|  PASSED
# The file file_input_raw was rewound 23 times
      rgb_lagged_sum|   3|   1000000|     100|0.81269283|  PASSED
# The file file_input_raw was rewound 25 times
      rgb_lagged_sum|   4|   1000000|     100|0.21298867|  PASSED
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|   5|   1000000|     100|0.13754893|  PASSED
# The file file_input_raw was rewound 30 times
      rgb_lagged_sum|   6|   1000000|     100|0.57222514|  PASSED
# The file file_input_raw was rewound 34 times
      rgb_lagged_sum|   7|   1000000|     100|0.00001869|   WEAK
# The file file_input_raw was rewound 37 times
      rgb_lagged_sum|   8|   1000000|     100|0.44101893|  PASSED
# The file file_input_raw was rewound 41 times
      rgb_lagged_sum|   9|   1000000|     100|0.82214436|  PASSED
# The file file_input_raw was rewound 45 times
      rgb_lagged_sum|  10|   1000000|     100|0.89236453|  PASSED
# The file file_input_raw was rewound 50 times
      rgb_lagged_sum|  11|   1000000|     100|0.10930191|  PASSED
# The file file_input_raw was rewound 55 times
      rgb_lagged_sum|  12|   1000000|     100|0.19271714|  PASSED

# The file file_input_raw was rewound 61 times
      rgb_lagged_sum|  13|   1000000|     100|0.05958741|  PASSED
# The file file_input_raw was rewound 66 times
      rgb_lagged_sum|  14|   1000000|     100|0.16080896|  PASSED
# The file file_input_raw was rewound 73 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000954|   WEAK
# The file file_input_raw was rewound 79 times
      rgb_lagged_sum|  16|   1000000|     100|0.99992906|   WEAK
# The file file_input_raw was rewound 86 times
      rgb_lagged_sum|  17|   1000000|     100|0.15099459|  PASSED
# The file file_input_raw was rewound 94 times
      rgb_lagged_sum|  18|   1000000|     100|0.67751362|  PASSED
# The file file_input_raw was rewound 102 times
      rgb_lagged_sum|  19|   1000000|     100|0.27789695|  PASSED
# The file file_input_raw was rewound 110 times
      rgb_lagged_sum|  20|   1000000|     100|0.95123148|  PASSED
# The file file_input_raw was rewound 118 times
      rgb_lagged_sum|  21|   1000000|     100|0.02586045|  PASSED
# The file file_input_raw was rewound 127 times
      rgb_lagged_sum|  22|   1000000|     100|0.88860892|  PASSED
# The file file_input_raw was rewound 137 times
      rgb_lagged_sum|  23|   1000000|     100|0.00013704|   WEAK
# The file file_input_raw was rewound 146 times
      rgb_lagged_sum|  24|   1000000|     100|0.05099404|  PASSED
# The file file_input_raw was rewound 157 times
      rgb_lagged_sum|  25|   1000000|     100|0.08081329|  PASSED
# The file file_input_raw was rewound 167 times
      rgb_lagged_sum|  26|   1000000|     100|0.71136448|  PASSED
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  27|   1000000|     100|0.00888723|  PASSED
# The file file_input_raw was rewound 189 times
      rgb_lagged_sum|  28|   1000000|     100|0.68060603|  PASSED
# The file file_input_raw was rewound 201 times
      rgb_lagged_sum|  29|   1000000|     100|0.71487203|  PASSED
# The file file_input_raw was rewound 213 times
      rgb_lagged_sum|  30|   1000000|     100|0.95375470|  PASSED
# The file file_input_raw was rewound 226 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 239 times
      rgb_lagged_sum|  32|   1000000|     100|0.10812854|  PASSED
# The file file_input_raw was rewound 239 times
     rgb_kstest_test|   0|     10000|    1000|0.24032398|  PASSED
# The file file_input_raw was rewound 239 times
     dab_bytedistrib|   0|  51200000|       1|0.12786522|  PASSED
# The file file_input_raw was rewound 239 times
             dab_dct| 256|     50000|       1|0.13935781|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 240 times
        dab_filltree|  32|  15000000|       1|0.70595535|  PASSED
        dab_filltree|  32|  15000000|       1|0.40172755|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 240 times
       dab_filltree2|   0|   5000000|       1|0.25364086|  PASSED
       dab_filltree2|   1|   5000000|       1|0.08003787|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 240 times
        dab_monobit2|  12|  65000000|       1|0.84225097|  PASSED
