#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.72e+07  |1650568772|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  23|   1000000|     100|0.43538242|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.20333417|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.91403647|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.03074014|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.99735934|   WEAK
      rgb_lagged_sum|  28|   1000000|     100|0.80150994|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.42959136|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.92416976|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.34520536|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.96519660|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.18983936|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.82570446|  PASSED
             dab_dct| 256|     50000|       1|0.53551438|  PASSED

